TransmittingNode,ReceivingNode,Distance,Height,Foliage,PacketNumber,DateTime,Temperature,Pressure,Latitude,Longitude,RSSI,SNR
2,1,10,1,0,288,2025-11-06T14:49:15,34.05,1008.07,14.594762,120.981426,-60,11.5
2,1,10,1,0,294,2025-11-06T14:49:21,34.04,1008.09,14.594753,120.981417,-64,13.25
2,1,10,1,0,300,2025-11-06T14:49:27,34.03,1008.08,14.594751,120.981401,-62,13.25
2,1,10,1,0,306,2025-11-06T14:49:33,34.03,1008.08,14.594752,120.98138,-63,13.5
2,1,10,1,0,312,2025-11-06T14:49:39,34.02,1008.07,14.59475,120.981368,-62,13.75
2,1,10,1,0,318,2025-11-06T14:49:45,34,1008.06,14.594748,120.981366,-61,13.25
2,1,10,1,0,324,2025-11-06T14:49:51,34,1008.01,14.594743,120.981365,-60,13.75
2,1,10,1,0,330,2025-11-06T14:49:57,34,1008.05,14.594741,120.98136,-60,10
2,1,10,1,0,336,2025-11-06T14:50:03,33.99,1008.04,14.59474,120.981356,-63,13.25
2,1,10,1,0,342,2025-11-06T14:50:09,34,1008.04,14.594742,120.981346,-62,13.25
2,1,10,1,0,348,2025-11-06T14:50:15,34,1008.07,14.594746,120.981334,-62,13.75
2,1,10,1,0,354,2025-11-06T14:50:21,34,1008.04,14.594753,120.981329,-61,13.75
2,1,10,1,0,360,2025-11-06T14:50:27,33.98,1008.04,14.594757,120.981333,-63,13.5
2,1,10,1,0,366,2025-11-06T14:50:33,33.98,1008.02,14.594754,120.98134,-61,13.75
2,1,10,1,0,372,2025-11-06T14:50:39,33.98,1008.03,14.594747,120.981345,-62,13.75
2,1,10,1,0,378,2025-11-06T14:50:45,33.96,1008.03,14.594736,120.981344,-62,13.5
2,1,10,1,0,384,2025-11-06T14:50:51,33.98,1008.04,14.594732,120.981336,-60,10
2,1,10,1,0,390,2025-11-06T14:50:57,33.98,1008.05,14.594748,120.981336,-64,13.25
2,1,10,1.5,0,456,2025-11-06T14:52:03,34.2,1008.16,14.594703,120.981352,-60,13
2,1,10,1.5,0,462,2025-11-06T14:52:09,34.37,1008.08,14.594704,120.981338,-61,13.5
2,1,10,1.5,0,468,2025-11-06T14:52:15,34.5,1008.07,14.59471,120.981306,-62,13.5
2,1,10,1.5,0,474,2025-11-06T14:52:21,34.61,1008.04,14.594714,120.981297,-63,13.5
2,1,10,1.5,0,480,2025-11-06T14:52:27,34.77,1008.03,14.594717,120.981305,-62,13
2,1,10,1.5,0,486,2025-11-06T14:52:33,34.91,1008.03,14.594721,120.98131,-62,13.25
2,1,10,1.5,0,492,2025-11-06T14:52:39,35.03,1007.95,14.594729,120.98131,-62,13.75
2,1,10,1.5,0,498,2025-11-06T14:52:45,35.09,1007.97,14.594731,120.981318,-62,13
2,1,10,1.5,0,504,2025-11-06T14:52:51,35.16,1008,14.594717,120.981326,-63,13.25
2,1,10,1.5,0,516,2025-11-06T14:53:03,35.29,1007.98,14.594697,120.981311,-62,12.75
2,1,10,1.5,0,522,2025-11-06T14:53:09,35.33,1008,14.594694,120.981307,-64,13.5
2,1,10,1.5,0,528,2025-11-06T14:53:15,35.39,1008.02,14.594693,120.9813,-63,13
2,1,10,1.5,0,534,2025-11-06T14:53:21,35.46,1008.04,14.594697,120.981292,-61,13.5
2,1,10,1.5,0,540,2025-11-06T14:53:27,35.55,1008.07,14.594695,120.981286,-61,13.5
2,1,10,1.5,0,546,2025-11-06T14:53:33,35.63,1008.05,14.594689,120.981277,-63,13.75
2,1,10,1.5,0,552,2025-11-06T14:53:39,35.69,1008.03,14.594685,120.981273,-63,13.5
2,1,10,1.5,0,558,2025-11-06T14:53:45,35.78,1008.05,14.594678,120.981273,-63,13.25
2,1,10,1.5,0,564,2025-11-06T14:53:51,35.85,1008.03,14.594671,120.981271,-62,13.25
2,1,10,1.5,0,570,2025-11-06T14:53:57,35.9,1008.03,14.594663,120.98127,-64,13.25
2,1,10,1.5,0,576,2025-11-06T14:54:03,35.92,1008.02,14.594657,120.981272,-63,13.25
2,1,10,1.5,0,582,2025-11-06T14:54:09,35.95,1008.06,14.594653,120.981278,-62,13.25
2,1,10,1.5,0,588,2025-11-06T14:54:15,35.97,1008.02,14.594651,120.98128,-64,10.25
2,1,10,1.5,0,594,2025-11-06T14:54:21,35.98,1008.04,14.594651,120.981284,-63,13.25
2,1,10,1.5,0,606,2025-11-06T14:54:33,36.01,1007.99,14.594666,120.981305,-61,14
2,1,10,1.5,0,612,2025-11-06T14:54:39,36.04,1008.01,14.594678,120.98132,-62,13.75
2,1,10,1.5,0,618,2025-11-06T14:54:45,36.07,1008.04,14.594678,120.981317,-62,8.5
2,1,10,1.5,0,624,2025-11-06T14:54:51,36.12,1008.01,14.594679,120.98131,-62,13.5
2,1,10,1.5,0,630,2025-11-06T14:54:57,36.14,1008,14.594679,120.981314,-62,13.25
2,1,10,2,0,708,2025-11-06T14:56:15,36.62,1007.88,14.594698,120.981297,-64,10.25
2,1,10,2,0,714,2025-11-06T14:56:21,36.68,1007.85,14.594696,120.981299,-64,13
2,1,10,2,0,720,2025-11-06T14:56:27,36.74,1007.87,14.594691,120.981293,-64,13.25
2,1,10,2,0,726,2025-11-06T14:56:33,36.8,1007.84,14.594691,120.981292,-64,13
2,1,10,2,0,732,2025-11-06T14:56:39,36.87,1007.87,14.594688,120.981299,-64,13.25
2,1,10,2,0,738,2025-11-06T14:56:45,36.93,1007.86,14.594687,120.981296,-64,13.25
2,1,10,2,0,744,2025-11-06T14:56:51,37.01,1007.88,14.594683,120.98129,-64,13.5
2,1,10,2,0,750,2025-11-06T14:56:57,37.09,1007.9,14.594679,120.981285,-64,13.25
2,1,10,2,0,756,2025-11-06T14:57:03,37.14,1007.88,14.594678,120.981293,-62,13.5
2,1,10,2,0,762,2025-11-06T14:57:09,37.22,1007.91,14.594675,120.981305,-62,13.5
2,1,10,2,0,768,2025-11-06T14:57:15,37.32,1007.9,14.594681,120.98131,-63,13.75
2,1,10,2,0,774,2025-11-06T14:57:21,37.4,1007.87,14.594688,120.98131,-64,13.25
2,1,10,2,0,780,2025-11-06T14:57:27,37.5,1007.87,14.594693,120.981311,-64,13.25
2,1,10,2,0,786,2025-11-06T14:57:33,37.56,1007.87,14.594696,120.981319,-63,13.5
2,1,10,2,0,792,2025-11-06T14:57:39,37.67,1007.88,14.594694,120.981314,-63,13
2,1,10,2,0,798,2025-11-06T14:57:45,37.77,1007.87,14.594696,120.981318,-63,13.75
2,1,10,2,0,804,2025-11-06T14:57:51,37.89,1007.9,14.594688,120.981322,-63,13.25
2,1,10,2,0,810,2025-11-06T14:57:57,37.98,1007.9,14.594685,120.981321,-63,13.5
2,1,10,2,0,816,2025-11-06T14:58:03,38.09,1007.87,14.594693,120.981321,-62,13.5
2,1,10,2,0,822,2025-11-06T14:58:09,38.22,1007.92,14.594695,120.981318,-62,13.5
2,1,10,2,0,828,2025-11-06T14:58:15,38.35,1007.94,14.594691,120.981308,-62,13.75
2,1,10,2,0,834,2025-11-06T14:58:21,38.43,1007.92,14.594693,120.981299,-62,13.5
2,1,10,2,0,840,2025-11-06T14:58:27,38.51,1007.92,14.594689,120.981293,-62,13.25
2,1,10,2,0,846,2025-11-06T14:58:33,38.6,1007.92,14.594684,120.981293,-62,13.25
2,1,10,2,0,852,2025-11-06T14:58:39,38.67,1007.92,14.59468,120.981294,-62,13.5
2,1,10,2,0,858,2025-11-06T14:58:45,38.73,1007.91,14.594676,120.981296,-63,13.5
2,1,10,2,0,864,2025-11-06T14:58:51,38.79,1007.89,14.594675,120.981301,-62,13.5
2,1,10,2,0,870,2025-11-06T14:58:57,38.84,1007.87,14.594669,120.981308,-62,14
2,1,10,2.5,0,948,2025-11-06T15:00:15,38.34,1007.88,14.59467,120.981227,-64,12.5
2,1,10,2.5,0,954,2025-11-06T15:00:21,38.28,1007.9,14.594675,120.981235,-64,12.75
2,1,10,2.5,0,960,2025-11-06T15:00:27,38.18,1007.87,14.594676,120.981249,-64,13.25
2,1,10,2.5,0,966,2025-11-06T15:00:33,38.08,1007.88,14.594675,120.981258,-63,13.25
2,1,10,2.5,0,972,2025-11-06T15:00:39,37.95,1007.88,14.594674,120.981269,-63,13.75
2,1,10,2.5,0,978,2025-11-06T15:00:45,37.8,1007.89,14.594673,120.981281,-64,11.25
2,1,10,2.5,0,984,2025-11-06T15:00:51,37.67,1007.86,14.594672,120.981288,-64,11.75
2,1,10,2.5,0,990,2025-11-06T15:00:57,37.53,1007.88,14.59467,120.981296,-64,11
2,1,10,2.5,0,996,2025-11-06T15:01:03,37.42,1007.87,14.59467,120.981316,-64,10.75
2,1,10,2.5,0,1002,2025-11-06T15:01:09,37.28,1007.86,14.594669,120.981325,-64,12.5
2,1,10,2.5,0,1008,2025-11-06T15:01:15,37.19,1007.86,14.594669,120.981329,-64,10.5
2,1,10,2.5,0,1014,2025-11-06T15:01:21,37.09,1007.86,14.59467,120.981336,-64,12.25
2,1,10,2.5,0,1020,2025-11-06T15:01:27,37.01,1007.87,14.59468,120.981363,-64,11
2,1,10,2.5,0,1026,2025-11-06T15:01:33,36.91,1007.84,14.594689,120.981397,-64,10.75
2,1,10,2.5,0,1032,2025-11-06T15:01:39,36.84,1007.83,14.594692,120.981393,-64,10.25
2,1,10,2.5,0,1038,2025-11-06T15:01:45,36.79,1007.82,14.594686,120.981354,-63,13.25
2,1,10,2.5,0,1044,2025-11-06T15:01:51,36.73,1007.86,14.594681,120.981327,-64,10.5
2,1,10,2.5,0,1050,2025-11-06T15:01:57,36.67,1007.83,14.594676,120.981308,-64,10.5
2,1,10,2.5,0,1056,2025-11-06T15:02:03,36.6,1007.82,14.59467,120.9813,-64,10.25
2,1,10,2.5,0,1062,2025-11-06T15:02:09,36.56,1007.83,14.594665,120.9813,-64,10.5
2,1,10,2.5,0,1068,2025-11-06T15:02:15,36.51,1007.88,14.594667,120.9813,-63,13.5
2,1,10,2.5,0,1074,2025-11-06T15:02:21,36.47,1007.87,14.594662,120.981298,-64,13.5
2,1,10,2.5,0,1080,2025-11-06T15:02:27,36.42,1007.87,14.594655,120.981301,-64,13.25
2,1,10,2.5,0,1086,2025-11-06T15:02:33,36.39,1007.88,14.594648,120.981301,-63,13.75
2,1,10,2.5,0,1092,2025-11-06T15:02:39,36.34,1007.84,14.594646,120.981304,-63,13.5
2,1,10,2.5,0,1098,2025-11-06T15:02:45,36.27,1007.83,14.59465,120.981307,-64,11.5
2,1,10,2.5,0,1104,2025-11-06T15:02:51,36.25,1007.86,14.594653,120.981305,-64,11.75
2,1,10,2.5,0,1110,2025-11-06T15:02:57,36.21,1007.86,14.594656,120.9813,-63,13.75
2,1,20,1,0,143,2025-11-06T15:06:01,35.12,1008.03,14.59477,120.981388,-66,13.5
2,1,20,1,0,144,2025-11-06T15:06:02,35.11,1008.02,14.594771,120.981389,-66,14
2,1,20,1,0,148,2025-11-06T15:06:05,35.07,1007.99,14.594774,120.981393,-66,13.5
2,1,20,1,0,150,2025-11-06T15:06:07,35.07,1008.02,14.594775,120.981396,-67,13.5
2,1,20,1,0,151,2025-11-06T15:06:08,35.07,1008.04,14.594774,120.981398,-67,13.5
2,1,20,1,0,155,2025-11-06T15:06:11,35.04,1008.02,14.594774,120.981399,-65,10.25
2,1,20,1,0,156,2025-11-06T15:06:12,35.03,1008.01,14.594774,120.9814,-64,10
2,1,20,1,0,158,2025-11-06T15:06:13,35.02,1008.01,14.594773,120.9814,-65,10.5
2,1,20,1,0,159,2025-11-06T15:06:14,35.02,1008.04,14.594772,120.9814,-65,12
2,1,20,1,0,163,2025-11-06T15:06:17,34.99,1008.02,14.59477,120.9814,-65,10
2,1,20,1,0,164,2025-11-06T15:06:18,34.99,1008.03,14.594768,120.981399,-65,11
2,1,20,1,0,166,2025-11-06T15:06:19,34.99,1008.04,14.594768,120.981399,-66,13.75
2,1,20,1,0,167,2025-11-06T15:06:20,34.98,1008.04,14.594768,120.981399,-67,13.75
2,1,20,1,0,171,2025-11-06T15:06:23,34.96,1008.08,14.594765,120.981401,-66,13.25
2,1,20,1,0,172,2025-11-06T15:06:24,34.95,1008.04,14.594763,120.981401,-65,10
2,1,20,1,0,174,2025-11-06T15:06:25,34.95,1008.06,14.594762,120.981399,-65,13
2,1,20,1,0,175,2025-11-06T15:06:26,34.96,1008.05,14.594761,120.981396,-65,10.25
2,1,20,1,0,179,2025-11-06T15:06:29,34.94,1008.07,14.59476,120.981387,-67,13.5
2,1,20,1,0,180,2025-11-06T15:06:30,34.94,1008.03,14.594755,120.981386,-67,13.25
2,1,20,1,0,182,2025-11-06T15:06:31,34.93,1008.03,14.594754,120.98138,-67,13.5
2,1,20,1,0,183,2025-11-06T15:06:32,34.93,1008.05,14.594752,120.981369,-67,13.5
2,1,20,1,0,187,2025-11-06T15:06:35,34.91,1008,14.594751,120.981358,-67,13.75
2,1,20,1,0,188,2025-11-06T15:06:36,34.91,1008,14.59475,120.981356,-67,13.25
2,1,20,1,0,190,2025-11-06T15:06:37,34.9,1008.02,14.59475,120.981352,-67,13.5
2,1,20,1,0,191,2025-11-06T15:06:38,34.89,1008.02,14.59475,120.981349,-67,13.75
2,1,20,1,0,195,2025-11-06T15:06:41,34.88,1008.03,14.594751,120.981339,-65,10
2,1,20,1,0,197,2025-11-06T15:06:43,34.86,1008.02,14.594751,120.98133,-65,11.25
2,1,20,1,0,201,2025-11-06T15:06:47,34.83,1008.02,14.594749,120.981324,-65,10
2,1,20,1,0,202,2025-11-06T15:06:48,34.84,1008.02,14.59475,120.981323,-65,10.5
2,1,20,1,0,204,2025-11-06T15:06:49,34.82,1008.01,14.594749,120.981321,-65,11.5
2,1,20,1,0,205,2025-11-06T15:06:50,34.82,1008.03,14.594747,120.98132,-65,10.75
2,1,20,1,0,208,2025-11-06T15:06:53,34.81,1008.03,14.594749,120.981316,-65,10.75
2,1,20,1,0,209,2025-11-06T15:06:53,34.8,1008.06,14.59475,120.981315,-64,11.75
2,1,20,1,0,210,2025-11-06T15:06:55,34.8,1008.01,14.59475,120.981313,-66,14
2,1,20,1,0,211,2025-11-06T15:06:55,34.79,1008.03,14.594751,120.981312,-65,12.25
2,1,20,1,0,214,2025-11-06T15:06:59,34.77,1008.03,14.594754,120.981316,-68,12.5
2,1,20,1,0,215,2025-11-06T15:06:59,34.76,1008.02,14.594756,120.981318,-67,13.25
2,1,20,1,0,216,2025-11-06T15:07:01,34.75,1008.04,14.594757,120.981319,-67,13.75
2,1,20,1,0,217,2025-11-06T15:07:01,34.75,1008.03,14.594757,120.981322,-67,13.25
2,1,20,1,0,221,2025-11-06T15:07:05,34.71,1008,14.594756,120.981328,-65,10
2,1,20,1,0,222,2025-11-06T15:07:07,34.7,1008.01,14.594756,120.981328,-65,9.75
2,1,20,1,0,223,2025-11-06T15:07:07,34.7,1008.03,14.594756,120.98133,-65,10.25
2,1,20,1,0,226,2025-11-06T15:07:11,34.67,1008.01,14.594757,120.981336,-64,10.25
2,1,20,1,0,227,2025-11-06T15:07:11,34.67,1008.01,14.594758,120.981339,-65,10.25
2,1,20,1,0,228,2025-11-06T15:07:13,34.64,1008.02,14.594758,120.981341,-65,10.5
2,1,20,1,0,229,2025-11-06T15:07:13,34.64,1008.01,14.594758,120.981344,-64,10
2,1,20,1,0,232,2025-11-06T15:07:17,34.57,1007.97,14.594757,120.981344,-65,13
2,1,20,1,0,233,2025-11-06T15:07:17,34.57,1008.01,14.594758,120.981344,-66,12.25
2,1,20,1,0,234,2025-11-06T15:07:19,34.54,1008.01,14.594757,120.981345,-65,11.5
2,1,20,1,0,235,2025-11-06T15:07:19,34.54,1007.99,14.594757,120.981346,-65,11.75
2,1,20,1,0,238,2025-11-06T15:07:23,34.46,1007.99,14.594755,120.98134,-64,10
2,1,20,1,0,239,2025-11-06T15:07:23,34.46,1007.97,14.594754,120.981338,-64,10.25
