TransmittingNode,ReceivingNode,Distance,Height,Foliage,PER,
1,2,10,1,0,0.00,
1,2,10,1.5,0,0.00,
1,2,10,2,0,0.00,
1,2,10,2.5,0,3.57,
1,2,20,1,0,0.00,
1,2,20,1.5,0,2.22,
1,2,20,2,0,0.00,
1,2,20,2.5,0,0.00,
1,2,30,1,0,0.00,
1,2,30,1.5,0,0.00,
1,2,30,2,0,0.00,
1,2,30,2.5,0,0.00,
1,2,40,1,0,0.00,
1,2,40,1.5,0,0.00,
1,2,40,2,0,0.00,
1,2,40,2.5,0,0.00,
1,2,50,1,0,0.00,
1,2,50,1.5,0,0.00,
1,2,50,2,0,0.00,
1,2,50,2.5,0,0.00,
1,2,60,1,0,0.00,
1,2,60,1.5,0,0.00,
1,2,60,2,0,0.00,
1,2,60,2.5,0,0.00,
1,2,70,1,0,0.00,
1,2,70,1.5,0,0.00,
1,2,70,2,0,0.00,
1,2,70,2.5,0,1.69,
1,2,80,1,1,0.00,
1,2,80,1.5,1,0.00,
1,2,80,2,1,0.00,
1,2,80,2.5,1,0.00,
1,2,9.67,1,1,0.00,
1,2,9.67,1.5,1,0.00,
1,2,9.67,2,1,0.00,
1,2,9.67,2.5,1,0.00,
1,2,31.82,1,1,0.00,
1,2,31.82,1.5,1,0.00,
1,2,31.82,2,1,0.00,
1,2,31.82,2.5,1,0.00,
1,2,53.58,1,1,0.00,
1,2,53.58,1.5,1,0.00,
1,2,53.58,2,1,0.00,
1,2,53.58,2.5,1,0.00,
1,2,61.01,1,1,1.43,
1,2,61.01,1.5,1,1.04,
1,2,61.01,2,1,3.53,
1,2,61.01,2.5,1,0.00,
1,2,80.78,1,1,1.25,
1,2,80.78,1.5,1,0.00,
1,2,80.78,2,1,0.00,
1,2,80.78,2.5,1,2.50,
1,2,83.19,1,1,0.60,
1,2,83.19,1.5,1,0.00,
1,2,83.19,2,1,0.51,
1,2,83.19,2.5,1,1.52,
2,1,10,1,0,0.00,
2,1,10,1.5,0,3.45,
2,1,10,2,0,0.00,
2,1,10,2.5,0,0.00,
2,1,20,1,0,0.00,
2,1,20,1.5,0,0.00,
2,1,20,2,0,0.00,
2,1,20,2.5,0,0.00,
2,1,30,1,0,0.00,
2,1,30,1.5,0,0.00,
2,1,30,2,0,0.00,
2,1,30,2.5,0,0.00,
2,1,40,1,0,0.00,
2,1,40,1.5,0,0.00,
2,1,40,2,0,0.00,
2,1,40,2.5,0,0.00,
2,1,50,1,0,0.00,
2,1,50,1.5,0,0.00,
2,1,50,2,0,0.00,
2,1,50,2.5,0,0.00,
2,1,60,1,0,0.00,
2,1,60,1.5,0,0.00,
2,1,60,2,0,0.00,
2,1,60,2.5,0,0.00,
2,1,70,1,0,0.00,
2,1,70,1.5,0,0.00,
2,1,70,2,0,1.23,
2,1,70,2.5,0,0.00,
2,1,80,1,1,0.00,
2,1,80,1.5,1,0.00,
2,1,80,2,1,0.00,
2,1,80,2.5,1,0.00,
2,1,9.67,1,1,0.00,
2,1,9.67,1.5,1,0.00,
2,1,9.67,2,1,1.01,
2,1,9.67,2.5,1,0.00,
2,1,31.82,1,1,0.00,
2,1,31.82,1.5,1,1.92,
2,1,31.82,2,1,0.00,
2,1,31.82,2.5,1,0.00,
2,1,53.58,1,1,0.00,
2,1,53.58,1.5,1,0.00,
2,1,53.58,2,1,0.00,
2,1,53.58,2.5,1,0.00,
2,1,61.01,1,1,0.00,
2,1,61.01,1.5,1,0.00,
2,1,61.01,2,1,0.00,
2,1,61.01,2.5,1,0.00,
2,1,80.78,1,1,1.56,
2,1,80.78,1.5,1,0.00,
2,1,80.78,2,1,0.00,
2,1,80.78,2.5,1,0.00,
2,1,83.19,1,1,1.87,
2,1,83.19,1.5,1,0.57,
2,1,83.19,2,1,0.00,
2,1,83.19,2.5,1,1.03,
